(10,)
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
flatten_1 (Flatten)          (None, 10)                0         
_________________________________________________________________
dense_1 (Dense)              (None, 512)               5632      
_________________________________________________________________
activation_1 (Activation)    (None, 512)               0         
_________________________________________________________________
dense_2 (Dense)              (None, 512)               262656    
_________________________________________________________________
activation_2 (Activation)    (None, 512)               0         
_________________________________________________________________
dense_3 (Dense)              (None, 5)                 2565      
_________________________________________________________________
activation_3 (Activation)    (None, 5)                 0         
=================================================================
Total params: 270,853
Trainable params: 270,853
Non-trainable params: 0
_________________________________________________________________
None
load model
Training for 500000 steps ...
[F[K     39/500000: episode: 1, duration: 0.562s, episode steps: 39, steps per second: 69, episode reward: 39.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.154 [0.000, 4.000], mean observation: 0.498 [0.470, 0.510], loss: 0.880180, mean_absolute_error: 82.667548, mean_q: 104.039556
[F[K   1328/500000: episode: 24, duration: 0.301s, episode steps: 35, steps per second: 116, episode reward: 35.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.543 [0.000, 3.000], mean observation: 0.515 [0.470, 0.630], loss: 22.282202, mean_absolute_error: 69.045525, mean_q: 88.968140
[F[K   1376/500000: episode: 25, duration: 0.341s, episode steps: 48, steps per second: 141, episode reward: 48.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.708 [0.000, 4.000], mean observation: 0.494 [0.410, 0.530], loss: 19.193592, mean_absolute_error: 67.658203, mean_q: 87.373253
[F[K   1415/500000: episode: 26, duration: 0.328s, episode steps: 39, steps per second: 119, episode reward: 39.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.795 [0.000, 4.000], mean observation: 0.499 [0.430, 0.530], loss: 26.343632, mean_absolute_error: 67.018974, mean_q: 86.343956
[F[K   1497/500000: episode: 27, duration: 0.609s, episode steps: 82, steps per second: 135, episode reward: 82.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.939 [0.000, 4.000], mean observation: 0.519 [0.470, 0.630], loss: 20.510832, mean_absolute_error: 67.208099, mean_q: 86.685211
[F[K   1558/500000: episode: 28, duration: 0.503s, episode steps: 61, steps per second: 121, episode reward: 61.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.820 [0.000, 4.000], mean observation: 0.478 [0.350, 0.520], loss: 20.377731, mean_absolute_error: 66.433907, mean_q: 85.806015
[F[K   1608/500000: episode: 29, duration: 0.431s, episode steps: 50, steps per second: 116, episode reward: 50.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.300 [0.000, 4.000], mean observation: 0.508 [0.490, 0.540], loss: 22.971098, mean_absolute_error: 66.516258, mean_q: 85.669083
[F[K   1661/500000: episode: 30, duration: 0.513s, episode steps: 53, steps per second: 103, episode reward: 53.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.057 [0.000, 4.000], mean observation: 0.499 [0.420, 0.570], loss: 19.090237, mean_absolute_error: 66.528770, mean_q: 85.780380
[F[K   1694/500000: episode: 31, duration: 0.296s, episode steps: 33, steps per second: 111, episode reward: 33.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.273 [0.000, 3.000], mean observation: 0.526 [0.470, 0.660], loss: 17.293459, mean_absolute_error: 65.876732, mean_q: 85.043549
[F[K   1728/500000: episode: 32, duration: 0.289s, episode steps: 34, steps per second: 118, episode reward: 34.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.176 [0.000, 3.000], mean observation: 0.526 [0.470, 0.660], loss: 21.272814, mean_absolute_error: 65.055290, mean_q: 84.001404
[F[K   1766/500000: episode: 33, duration: 0.348s, episode steps: 38, steps per second: 109, episode reward: 38.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.421 [0.000, 4.000], mean observation: 0.487 [0.350, 0.530], loss: 20.877584, mean_absolute_error: 63.863056, mean_q: 82.543144
[F[K   1817/500000: episode: 34, duration: 0.428s, episode steps: 51, steps per second: 119, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.255 [0.000, 4.000], mean observation: 0.482 [0.370, 0.530], loss: 18.053028, mean_absolute_error: 64.370667, mean_q: 83.158867
[F[K   1867/500000: episode: 35, duration: 0.477s, episode steps: 50, steps per second: 105, episode reward: 50.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.080 [0.000, 4.000], mean observation: 0.511 [0.490, 0.540], loss: 20.567163, mean_absolute_error: 63.110260, mean_q: 81.619217
[F[K   1943/500000: episode: 36, duration: 0.708s, episode steps: 76, steps per second: 107, episode reward: 76.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.158 [0.000, 4.000], mean observation: 0.492 [0.440, 0.530], loss: 22.172764, mean_absolute_error: 63.808884, mean_q: 82.270958
[F[K   2002/500000: episode: 37, duration: 0.470s, episode steps: 59, steps per second: 126, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.610 [0.000, 4.000], mean observation: 0.513 [0.490, 0.580], loss: 18.534985, mean_absolute_error: 63.209049, mean_q: 81.643982
[F[K   2081/500000: episode: 38, duration: 0.664s, episode steps: 79, steps per second: 119, episode reward: 79.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.772 [0.000, 4.000], mean observation: 0.515 [0.470, 0.590], loss: 19.313038, mean_absolute_error: 63.943935, mean_q: 82.367027
[F[K   2134/500000: episode: 39, duration: 0.532s, episode steps: 53, steps per second: 100, episode reward: 53.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.283 [0.000, 4.000], mean observation: 0.495 [0.430, 0.530], loss: 19.557255, mean_absolute_error: 64.551079, mean_q: 83.153641
[F[K   2185/500000: episode: 40, duration: 0.502s, episode steps: 51, steps per second: 102, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.039 [0.000, 4.000], mean observation: 0.474 [0.360, 0.510], loss: 20.934614, mean_absolute_error: 63.004238, mean_q: 81.083946
[F[K   2236/500000: episode: 41, duration: 0.496s, episode steps: 51, steps per second: 103, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.353 [0.000, 4.000], mean observation: 0.502 [0.450, 0.580], loss: 20.413771, mean_absolute_error: 63.914658, mean_q: 82.139168
[F[K   2289/500000: episode: 42, duration: 0.520s, episode steps: 53, steps per second: 102, episode reward: 53.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.943 [0.000, 4.000], mean observation: 0.508 [0.430, 0.620], loss: 18.256140, mean_absolute_error: 62.427929, mean_q: 80.393822
[F[K   2338/500000: episode: 43, duration: 0.481s, episode steps: 49, steps per second: 102, episode reward: 49.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.980 [0.000, 3.000], mean observation: 0.498 [0.360, 0.640], loss: 18.111843, mean_absolute_error: 61.671169, mean_q: 79.499809
[F[K   2400/500000: episode: 44, duration: 0.607s, episode steps: 62, steps per second: 102, episode reward: 62.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.371 [0.000, 4.000], mean observation: 0.496 [0.360, 0.590], loss: 20.787905, mean_absolute_error: 61.600193, mean_q: 79.228798
[F[K   2471/500000: episode: 45, duration: 0.746s, episode steps: 71, steps per second: 95, episode reward: 71.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.535 [0.000, 4.000], mean observation: 0.488 [0.370, 0.530], loss: 17.302610, mean_absolute_error: 61.296745, mean_q: 78.971634
[F[K   2529/500000: episode: 46, duration: 0.519s, episode steps: 58, steps per second: 112, episode reward: 58.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.276 [0.000, 4.000], mean observation: 0.500 [0.480, 0.530], loss: 20.024008, mean_absolute_error: 61.665024, mean_q: 79.238411
[F[K   2586/500000: episode: 47, duration: 0.554s, episode steps: 57, steps per second: 103, episode reward: 57.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.737 [0.000, 4.000], mean observation: 0.520 [0.480, 0.610], loss: 22.808535, mean_absolute_error: 62.260616, mean_q: 79.890152
[F[K   2642/500000: episode: 48, duration: 0.617s, episode steps: 56, steps per second: 91, episode reward: 56.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.143 [0.000, 4.000], mean observation: 0.511 [0.460, 0.650], loss: 16.522493, mean_absolute_error: 60.816223, mean_q: 78.165657
[F[K   2696/500000: episode: 49, duration: 0.561s, episode steps: 54, steps per second: 96, episode reward: 54.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.426 [0.000, 4.000], mean observation: 0.510 [0.490, 0.570], loss: 18.632393, mean_absolute_error: 60.218513, mean_q: 77.512886
[F[K   2771/500000: episode: 50, duration: 0.800s, episode steps: 75, steps per second: 94, episode reward: 75.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.187 [0.000, 4.000], mean observation: 0.501 [0.440, 0.570], loss: 17.380856, mean_absolute_error: 60.592903, mean_q: 77.932106
[F[K   2837/500000: episode: 51, duration: 0.667s, episode steps: 66, steps per second: 99, episode reward: 66.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.455 [0.000, 4.000], mean observation: 0.498 [0.470, 0.520], loss: 20.543816, mean_absolute_error: 60.256042, mean_q: 77.362961
[F[K   2899/500000: episode: 52, duration: 0.598s, episode steps: 62, steps per second: 104, episode reward: 62.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.806 [0.000, 4.000], mean observation: 0.501 [0.440, 0.560], loss: 16.572632, mean_absolute_error: 60.548504, mean_q: 77.762627
[F[K   2952/500000: episode: 53, duration: 0.555s, episode steps: 53, steps per second: 96, episode reward: 53.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.830 [0.000, 4.000], mean observation: 0.487 [0.420, 0.530], loss: 17.098270, mean_absolute_error: 60.066666, mean_q: 77.110466
[F[K   3006/500000: episode: 54, duration: 0.572s, episode steps: 54, steps per second: 94, episode reward: 54.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.870 [0.000, 4.000], mean observation: 0.513 [0.500, 0.590], loss: 16.774277, mean_absolute_error: 61.310596, mean_q: 78.728554
[F[K   3047/500000: episode: 55, duration: 0.388s, episode steps: 41, steps per second: 106, episode reward: 41.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.171 [0.000, 4.000], mean observation: 0.488 [0.420, 0.530], loss: 15.824840, mean_absolute_error: 60.663567, mean_q: 77.845352
[F[K   3100/500000: episode: 56, duration: 0.525s, episode steps: 53, steps per second: 101, episode reward: 53.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.321 [0.000, 4.000], mean observation: 0.477 [0.370, 0.530], loss: 19.554564, mean_absolute_error: 59.431068, mean_q: 76.165756
[F[K   3142/500000: episode: 57, duration: 0.445s, episode steps: 42, steps per second: 94, episode reward: 42.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.905 [0.000, 4.000], mean observation: 0.494 [0.360, 0.560], loss: 18.297024, mean_absolute_error: 59.917915, mean_q: 76.660286
[F[K   3181/500000: episode: 58, duration: 0.452s, episode steps: 39, steps per second: 86, episode reward: 39.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.795 [0.000, 4.000], mean observation: 0.513 [0.470, 0.640], loss: 19.482347, mean_absolute_error: 58.924988, mean_q: 75.554794
[F[K   3243/500000: episode: 59, duration: 0.670s, episode steps: 62, steps per second: 93, episode reward: 62.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.048 [0.000, 4.000], mean observation: 0.509 [0.480, 0.590], loss: 17.828171, mean_absolute_error: 58.577408, mean_q: 75.256775
[F[K   3327/500000: episode: 60, duration: 0.912s, episode steps: 84, steps per second: 92, episode reward: 84.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.833 [0.000, 4.000], mean observation: 0.494 [0.450, 0.530], loss: 18.155529, mean_absolute_error: 58.355858, mean_q: 74.747231
[F[K   3387/500000: episode: 61, duration: 0.669s, episode steps: 60, steps per second: 90, episode reward: 60.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.817 [0.000, 4.000], mean observation: 0.504 [0.450, 0.590], loss: 18.174109, mean_absolute_error: 58.671459, mean_q: 75.236595
[F[K   3438/500000: episode: 62, duration: 0.605s, episode steps: 51, steps per second: 84, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.294 [0.000, 4.000], mean observation: 0.506 [0.460, 0.560], loss: 17.938276, mean_absolute_error: 57.942101, mean_q: 74.471443
[F[K   3495/500000: episode: 63, duration: 0.675s, episode steps: 57, steps per second: 84, episode reward: 57.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.789 [0.000, 4.000], mean observation: 0.511 [0.470, 0.580], loss: 15.914855, mean_absolute_error: 57.489498, mean_q: 73.784363
[F[K   3548/500000: episode: 64, duration: 0.637s, episode steps: 53, steps per second: 83, episode reward: 53.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.925 [0.000, 4.000], mean observation: 0.494 [0.440, 0.530], loss: 18.601761, mean_absolute_error: 58.011135, mean_q: 74.278755
[F[K   3586/500000: episode: 65, duration: 0.407s, episode steps: 38, steps per second: 93, episode reward: 38.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.158 [0.000, 2.000], mean observation: 0.515 [0.470, 0.640], loss: 18.686935, mean_absolute_error: 56.841816, mean_q: 72.857491
[F[K   3637/500000: episode: 66, duration: 0.522s, episode steps: 51, steps per second: 98, episode reward: 51.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.784 [0.000, 4.000], mean observation: 0.519 [0.470, 0.620], loss: 17.627434, mean_absolute_error: 56.099293, mean_q: 71.972549
[F[K   3684/500000: episode: 67, duration: 0.539s, episode steps: 47, steps per second: 87, episode reward: 47.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.489 [0.000, 4.000], mean observation: 0.498 [0.360, 0.620], loss: 17.606218, mean_absolute_error: 56.769249, mean_q: 72.912010
[F[K   3753/500000: episode: 68, duration: 0.729s, episode steps: 69, steps per second: 95, episode reward: 69.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.391 [0.000, 4.000], mean observation: 0.498 [0.440, 0.530], loss: 17.855026, mean_absolute_error: 56.252140, mean_q: 72.187859
[F[K   3810/500000: episode: 69, duration: 0.708s, episode steps: 57, steps per second: 81, episode reward: 57.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.491 [0.000, 4.000], mean observation: 0.498 [0.460, 0.530], loss: 17.815554, mean_absolute_error: 55.148472, mean_q: 70.861671
[F[K   3871/500000: episode: 70, duration: 0.684s, episode steps: 61, steps per second: 89, episode reward: 61.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.000 [0.000, 4.000], mean observation: 0.494 [0.450, 0.520], loss: 15.964568, mean_absolute_error: 55.890232, mean_q: 71.825706
[F[K   3919/500000: episode: 71, duration: 0.613s, episode steps: 48, steps per second: 78, episode reward: 48.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.042 [0.000, 4.000], mean observation: 0.487 [0.400, 0.530], loss: 16.789753, mean_absolute_error: 55.838207, mean_q: 71.532509
[F[K   3965/500000: episode: 72, duration: 0.498s, episode steps: 46, steps per second: 92, episode reward: 46.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.522 [0.000, 3.000], mean observation: 0.519 [0.470, 0.620], loss: 16.141363, mean_absolute_error: 55.935818, mean_q: 71.796638
[F[K   3999/500000: episode: 73, duration: 0.364s, episode steps: 34, steps per second: 93, episode reward: 34.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.088 [0.000, 3.000], mean observation: 0.518 [0.470, 0.640], loss: 16.710768, mean_absolute_error: 55.066235, mean_q: 70.647011
[F[K   4049/500000: episode: 74, duration: 0.575s, episode steps: 50, steps per second: 87, episode reward: 50.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.540 [0.000, 4.000], mean observation: 0.500 [0.460, 0.530], loss: 20.350786, mean_absolute_error: 55.114456, mean_q: 70.585663
[F[K   4096/500000: episode: 75, duration: 0.517s, episode steps: 47, steps per second: 91, episode reward: 47.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.170 [0.000, 4.000], mean observation: 0.483 [0.390, 0.520], loss: 16.298014, mean_absolute_error: 54.425549, mean_q: 69.726013
[F[K   4152/500000: episode: 76, duration: 0.666s, episode steps: 56, steps per second: 84, episode reward: 56.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.536 [0.000, 4.000], mean observation: 0.478 [0.370, 0.530], loss: 18.612728, mean_absolute_error: 54.433922, mean_q: 69.765678
[F[K   4200/500000: episode: 77, duration: 0.581s, episode steps: 48, steps per second: 83, episode reward: 48.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.979 [0.000, 4.000], mean observation: 0.508 [0.470, 0.550], loss: 16.192327, mean_absolute_error: 55.570316, mean_q: 71.241646
[F[K   4262/500000: episode: 78, duration: 0.795s, episode steps: 62, steps per second: 78, episode reward: 62.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.468 [0.000, 4.000], mean observation: 0.496 [0.410, 0.560], loss: 18.384441, mean_absolute_error: 53.402592, mean_q: 68.543800
[F[K   4328/500000: episode: 79, duration: 0.804s, episode steps: 66, steps per second: 82, episode reward: 66.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.030 [0.000, 4.000], mean observation: 0.500 [0.400, 0.600], loss: 19.420685, mean_absolute_error: 54.744450, mean_q: 70.129105
[F[K   4386/500000: episode: 80, duration: 0.605s, episode steps: 58, steps per second: 96, episode reward: 58.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.586 [0.000, 4.000], mean observation: 0.511 [0.470, 0.640], loss: 17.723961, mean_absolute_error: 52.696232, mean_q: 67.501846
[F[K   4441/500000: episode: 81, duration: 0.617s, episode steps: 55, steps per second: 89, episode reward: 55.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.782 [0.000, 4.000], mean observation: 0.503 [0.410, 0.630], loss: 17.275028, mean_absolute_error: 52.348324, mean_q: 67.103676
[F[K   4509/500000: episode: 82, duration: 0.855s, episode steps: 68, steps per second: 80, episode reward: 68.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.838 [0.000, 4.000], mean observation: 0.496 [0.390, 0.530], loss: 18.463980, mean_absolute_error: 51.609161, mean_q: 66.338028
[F[K   4568/500000: episode: 83, duration: 0.692s, episode steps: 59, steps per second: 85, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.678 [0.000, 4.000], mean observation: 0.507 [0.470, 0.580], loss: 17.585018, mean_absolute_error: 51.979198, mean_q: 66.524818
[F[K   4620/500000: episode: 84, duration: 0.634s, episode steps: 52, steps per second: 82, episode reward: 52.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.269 [0.000, 4.000], mean observation: 0.497 [0.450, 0.530], loss: 17.206089, mean_absolute_error: 51.557369, mean_q: 66.182434
[F[K   4680/500000: episode: 85, duration: 0.685s, episode steps: 60, steps per second: 88, episode reward: 60.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.267 [0.000, 4.000], mean observation: 0.494 [0.370, 0.560], loss: 17.173212, mean_absolute_error: 50.930138, mean_q: 65.332245
[F[K   4749/500000: episode: 86, duration: 0.851s, episode steps: 69, steps per second: 81, episode reward: 69.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.159 [0.000, 4.000], mean observation: 0.495 [0.460, 0.520], loss: 15.734617, mean_absolute_error: 51.529934, mean_q: 66.050591
[F[K   4799/500000: episode: 87, duration: 0.686s, episode steps: 50, steps per second: 73, episode reward: 50.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.080 [0.000, 4.000], mean observation: 0.513 [0.470, 0.600], loss: 17.538555, mean_absolute_error: 51.376080, mean_q: 65.867455
[F[K   4843/500000: episode: 88, duration: 0.538s, episode steps: 44, steps per second: 82, episode reward: 44.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.273 [0.000, 4.000], mean observation: 0.505 [0.470, 0.560], loss: 16.692116, mean_absolute_error: 50.978283, mean_q: 65.527260
[F[K   4912/500000: episode: 89, duration: 0.837s, episode steps: 69, steps per second: 82, episode reward: 69.000, mean reward: 1.000 [1.000, 1.000], mean action: 2.507 [0.000, 4.000], mean observation: 0.494 [0.450, 0.510], loss: 19.189392, mean_absolute_error: 52.254749, mean_q: 66.936653
[F[K   4971/500000: episode: 90, duration: 0.810s, episode steps: 59, steps per second: 73, episode reward: 59.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.864 [0.000, 4.000], mean observation: 0.499 [0.410, 0.590], loss: 18.473808, mean_absolute_error: 50.540283, mean_q: 64.864197
